"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.077095906E2,5.162316786E1,6.974415690E0,4.343203946E1,8.816406250E1,0.000000000E0,0.000000000E0,2.304183358E-2,3.790092468E0,3.120997667E0,2.300000000E1
1.087107125E2,5.162316793E1,6.974415630E0,4.343002555E1,8.816204834E1,0.000000000E0,0.000000000E0,2.304537909E-2,3.790092468E0,3.122145653E0,2.300000000E1
1.097104192E2,5.162316795E1,6.974415590E0,4.344851930E1,8.818054199E1,0.000000000E0,0.000000000E0,2.304537909E-2,3.790092468E0,3.041763544E0,2.200000000E1
1.107091093E2,5.162316795E1,6.974415590E0,4.345163209E1,8.818365479E1,0.000000000E0,0.000000000E0,2.304892460E-2,3.790092468E0,3.103489876E0,2.200000000E1
1.117101662E2,5.162316797E1,6.974415630E0,4.346475468E1,8.819677734E1,0.000000000E0,0.000000000E0,2.305125318E-2,3.790092468E0,3.152107239E0,2.200000000E1
1.127106225E2,5.162316799E1,6.974415620E0,4.347104136E1,8.820306396E1,0.000000000E0,0.000000000E0,2.305718613E-2,3.790092468E0,3.164491177E0,2.200000000E1
1.137111341E2,5.162316804E1,6.974415590E0,4.348660550E1,8.821862793E1,0.000000000E0,0.000000000E0,2.305829808E-2,3.790092468E0,3.158150911E0,2.300000000E1
1.147102804E2,5.162316803E1,6.974415590E0,4.348959619E1,8.822161865E1,0.000000000E0,0.000000000E0,2.305941002E-2,3.790092468E0,3.159229279E0,2.300000000E1
1.157106046E2,5.162316804E1,6.974415590E0,4.349679837E1,8.822882080E1,0.000000000E0,0.000000000E0,2.306792467E-2,3.790092468E0,3.215881586E0,2.300000000E1
1.167122315E2,5.162316797E1,6.974415640E0,4.350052127E1,8.823254395E1,0.000000000E0,0.000000000E0,2.307025325E-2,3.790092468E0,3.234957933E0,2.200000000E1
1.177142098E2,5.162316799E1,6.974415650E0,4.350381722E1,8.823583984E1,0.000000000E0,0.000000000E0,2.307491040E-2,3.790092468E0,3.141479731E0,2.200000000E1
1.187103348E2,5.162316795E1,6.974415630E0,4.351614622E1,8.824816895E1,0.000000000E0,0.000000000E0,2.308227669E-2,3.790092468E0,3.069283724E0,2.200000000E1
1.197113972E2,5.162316790E1,6.974415700E0,4.351993020E1,8.825195312E1,0.000000000E0,0.000000000E0,2.308672449E-2,3.790092468E0,3.041927814E0,2.200000000E1
1.207096013E2,5.162316786E1,6.974415700E0,4.352676602E1,8.825878906E1,0.000000000E0,0.000000000E0,2.339829107E-2,3.790092468E0,3.031270981E0,2.200000000E1
1.217109870E2,5.162316509E1,6.974416380E0,4.351851756E1,8.825054932E1,0.000000000E0,0.000000000E0,2.340061965E-2,3.790092468E0,3.074691534E0,2.300000000E1
1.227106122E2,5.162316507E1,6.974416370E0,4.352590277E1,8.825793457E1,0.000000000E0,0.000000000E0,2.555218713E-2,3.790092468E0,3.131915092E0,2.300000000E1
1.237112834E2,5.162314585E1,6.974419970E0,4.410055021E1,8.883264160E1,1.710000038E0,1.745000000E2,2.598139096E-2,3.790092468E0,3.123986483E0,2.300000000E1
1.247117007E2,5.162314471E1,6.974425910E0,4.484956582E1,8.958166504E1,7.300000191E-1,1.571000061E2,2.705908631E-2,3.790092468E0,3.163858891E0,2.300000000E1
1.257122467E2,5.162313504E1,6.974426960E0,4.422240018E1,8.895452881E1,6.700000167E-1,1.661999969E2,2.827936358E-2,3.820701599E0,3.236226082E0,2.300000000E1
1.267116575E2,5.162312407E1,6.974426470E0,4.309755119E1,8.782971191E1,5.699999928E-1,1.546999969E2,2.919684142E-2,3.891847610E0,3.355302095E0,2.300000000E1
1.277168944E2,5.162311820E1,6.974435810E0,4.297423580E1,8.770642090E1,7.599999905E-1,1.435000000E2,3.042083530E-2,3.916812658E0,3.401054859E0,2.400000000E1
