"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.011473450E2,5.162429424E1,6.974751190E0,3.439514416E1,7.912408447E1,0.000000000E0,0.000000000E0,7.211571031E-3,1.474260139E1,1.077371597E1,8.000000000E0
1.021487057E2,5.162429842E1,6.974748860E0,3.412678669E1,7.885571289E1,0.000000000E0,0.000000000E0,7.214188638E-3,1.349071598E1,1.090188313E1,9.000000000E0
1.031480341E2,5.162429840E1,6.974748840E0,3.414424270E1,7.887316895E1,0.000000000E0,0.000000000E0,7.214878953E-3,1.379087543E1,1.096795940E1,8.000000000E0
1.041495121E2,5.162429840E1,6.974748830E0,3.416023392E1,7.888916016E1,0.000000000E0,0.000000000E0,7.219326750E-3,1.400952721E1,1.084029198E1,7.000000000E0
1.051545506E2,5.162429836E1,6.974748830E0,3.410493595E1,7.883386230E1,0.000000000E0,0.000000000E0,7.222662598E-3,1.447016335E1,1.141711807E1,7.000000000E0
1.061463819E2,5.162429839E1,6.974748830E0,3.413685743E1,7.886578369E1,0.000000000E0,0.000000000E0,7.225998446E-3,1.475348568E1,1.136543941E1,7.000000000E0
1.071487543E2,5.162429836E1,6.974748830E0,3.414882023E1,7.887774658E1,0.000000000E0,0.000000000E0,7.258343694E-3,1.500537395E1,1.107533360E1,7.000000000E0
1.081474481E2,5.162429846E1,6.974748390E0,3.408986089E1,7.881878662E1,0.000000000E0,0.000000000E0,7.259724324E-3,1.474557495E1,1.077199078E1,6.000000000E0
1.091501927E2,5.162429846E1,6.974748410E0,3.409663578E1,7.882556152E1,0.000000000E0,0.000000000E0,7.307558071E-3,1.476625824E1,1.041610241E1,7.000000000E0
1.101483106E2,5.162429803E1,6.974748390E0,3.423982300E1,7.896875000E1,0.000000000E0,0.000000000E0,7.308248386E-3,1.487833691E1,9.958815575E0,8.000000000E0
1.111481971E2,5.162429803E1,6.974748400E0,3.424476684E1,7.897369385E1,0.000000000E0,0.000000000E0,7.310598971E-3,1.465748978E1,9.208446503E0,1.000000000E1
1.121466690E2,5.162429802E1,6.974748430E0,3.426503046E1,7.899395752E1,0.000000000E0,0.000000000E0,7.314929379E-3,1.467580891E1,9.035126686E0,1.000000000E1
1.131486783E2,5.162429799E1,6.974748470E0,3.427644391E1,7.900537109E1,0.000000000E0,0.000000000E0,7.328900827E-3,1.470355511E1,9.021256447E0,1.000000000E1
1.141487721E2,5.162429787E1,6.974748410E0,3.427418530E1,7.900311279E1,0.000000000E0,0.000000000E0,7.330673557E-3,1.508141804E1,9.973961830E0,1.100000000E1
1.151489048E2,5.162429786E1,6.974748430E0,3.427259834E1,7.900152588E1,0.000000000E0,0.000000000E0,7.334815449E-3,1.583232594E1,1.081114769E1,9.000000000E0
1.161480516E2,5.162429786E1,6.974748490E0,3.427857974E1,7.900750732E1,0.000000000E0,0.000000000E0,7.340687254E-3,1.750187111E1,1.170414066E1,8.000000000E0
1.171547888E2,5.162429783E1,6.974748560E0,3.428779591E1,7.901672363E1,0.000000000E0,0.000000000E0,7.344975807E-3,1.763716698E1,1.152807426E1,6.000000000E0
1.181542567E2,5.162429784E1,6.974748500E0,3.427461239E1,7.900354004E1,0.000000000E0,0.000000000E0,7.351519825E-3,1.755209541E1,1.148505688E1,6.000000000E0
1.191494652E2,5.162429789E1,6.974748550E0,3.427473457E1,7.900366211E1,0.000000000E0,0.000000000E0,7.361551149E-3,1.848950005E1,1.184862900E1,7.000000000E0
1.201457647E2,5.162429780E1,6.974748540E0,3.427827435E1,7.900720215E1,0.000000000E0,0.000000000E0,7.368536872E-3,1.779908180E1,1.173001385E1,6.000000000E0
1.211481096E2,5.162429774E1,6.974748570E0,3.428449974E1,7.901342773E1,0.000000000E0,0.000000000E0,7.857396615E-3,1.856525803E1,1.175685120E1,8.000000000E0
1.221488013E2,5.162430197E1,6.974746640E0,3.393008255E1,7.865899658E1,0.000000000E0,0.000000000E0,7.861727024E-3,1.406721020E1,1.119258785E1,8.000000000E0
1.231506755E2,5.162430200E1,6.974746680E0,3.395675498E1,7.868566895E1,0.000000000E0,0.000000000E0,7.863035827E-3,1.413121223E1,1.065208435E1,9.000000000E0
1.241485229E2,5.162430201E1,6.974746690E0,3.395736535E1,7.868627930E1,0.000000000E0,0.000000000E0,7.864416457E-3,1.387543392E1,1.043104553E1,9.000000000E0
1.251477800E2,5.162430201E1,6.974746710E0,3.399172813E1,7.872064209E1,0.000000000E0,0.000000000E0,7.868917506E-3,1.410916233E1,1.038826561E1,8.000000000E0
1.261485272E2,5.162430197E1,6.974746700E0,3.401370067E1,7.874261475E1,0.000000000E0,0.000000000E0,7.871141404E-3,1.473242855E1,1.068009949E1,8.000000000E0
1.271484446E2,5.162430195E1,6.974746700E0,3.402499212E1,7.875390625E1,0.000000000E0,0.000000000E0,7.875589200E-3,1.505858040E1,1.076483917E1,6.000000000E0
1.281488892E2,5.162430199E1,6.974746700E0,3.402548052E1,7.875439453E1,0.000000000E0,0.000000000E0,7.879199467E-3,1.578041553E1,1.106666660E1,7.000000000E0
1.291479107E2,5.162430196E1,6.974746720E0,3.398293891E1,7.871185303E1,0.000000000E0,0.000000000E0,7.883341357E-3,1.693618584E1,1.149981689E1,6.000000000E0
1.301571947E2,5.162430196E1,6.974746660E0,3.400796337E1,7.873687744E1,0.000000000E0,0.000000000E0,7.885958964E-3,1.879797554E1,1.210661983E1,6.000000000E0
1.311502666E2,5.162430194E1,6.974746640E0,3.401669135E1,7.874560547E1,0.000000000E0,0.000000000E0,7.929808649E-3,2.132834053E1,1.273002243E1,7.000000000E0
1.321494662E2,5.162430205E1,6.974746030E0,3.389883325E1,7.862774658E1,0.000000000E0,0.000000000E0,7.931117451E-3,1.843500137E1,1.243249512E1,7.000000000E0
1.331472902E2,5.162430204E1,6.974746020E0,3.390530295E1,7.863421631E1,0.000000000E0,0.000000000E0,7.962374236E-3,1.862452698E1,1.225384808E1,8.000000000E0
1.341553305E2,5.162430232E1,6.974746060E0,3.385696391E1,7.858587646E1,0.000000000E0,0.000000000E0,7.963683039E-3,1.673281670E1,1.135362053E1,8.000000000E0
